precision,language,idx,hyp,chrf
bf16,Hindi,0,"एक दिखावा एक सेवा पerson के संबंध में है जैसे उनके पैरों के सूट, कपड़े, जींस, जूते, स्वेटर, स्वेटर, मेकअप, स्वेटर, प्रफर्म, etc.",24.55926409008061
bf16,Hindi,1,"अजंता में स्थित, महाराष्ट्र के अुरंगाबाद जिले में 29 कैथ्या और विहार की चट्टानों पर चित्र और पेंटिंग्स से पहली सदी ईस्वी से पांचवी सदी ईस्वी के बीच के समय से बने हैं।",36.66212896277376
bf16,Hindi,2,"शरीर का रंग अपने अंदर के लाइन के साथ मिलकर बनता है, जिससे एक व्यापक प्रभाव होता है।",26.562497807569592
bf16,Hindi,3,"अशोक ने स्थानीय पत्थर का उपयोग करके सкуль्पित और बड़े स्मारकों का प्रयोग करना शुरू किया, जबकि पूर्वी राज्यों में काम करने वाले पुराने रीति-रिवाज में पत्थर और क्लयप का उपयोग किया जाता था।",42.10637626124615
bf16,Hindi,4,"माछा की पाक शैली में प्याज, मसाले और बेसन के साथ मिलाकर बनी है और इसे माछा के लिए प्रसिद्ध बना दिया गया है।",24.77400496259193
bf16,Hindi,5,"चेत्तिनाद की पाक शैली नटुकोटाई चेत्तियार्स, या नागराथर, जो चेत्तिनाद क्षेत्र के तमिलनाडु राज्य के लिए जाने जाते हैं, के लिए है।",25.06160971540816
bf16,Hindi,6,"भारत में किंवदंती का पौधा है, इसलिए उसके उपयोग का क्षेत्र बहुत व्यापक है और यह एक पौधा भी है जो कि स्वास्थ्य के लिए उपयोगी है।",19.15586238401134
bf16,Hindi,7,इसे पाउडर में मिलाएं या सूखे ग्राइंडर या पत्थर के पेस्टल से मिलाएं।,38.55216516384245
bf16,Hindi,8,"पंजाब के सभी शहरों में अलग-अलग पसंद हैं, जैसे अमृतसर के लोग अमृतसरी कुल्हे के साथ, भरपूर पनीर और दूध के साथ।",39.29525885738197
bf16,Hindi,9,रामा से संदेश दें और लक्ष्मण से भी संदेश दें.,23.27433594465728
bf16,Hindi,10,मंगाल पंडे का बलिदान हिंदुस्तान के लिए एक उच्च और नobile प्रinciples के लिए किया गया था।,20.27008952574906
bf16,Hindi,11,"जब अदरक का स्वाद पूरी तरह से पूरा हो जाए, मटन को मेथी पाउडर और स्वादिष्ट मसालों के साथ स्वादिष्ट मिलाएं और 5-6 मिनट तक स्वादिष्ट मसालों को मिलाएं।",25.131348201869447
bf16,Hindi,12,"हितोपदेश एक विश्व के ज्ञान के रूप में प्रस्तुत किया गया है जो विभिन्न जानवरों, पशुओं और मनुष्यों के माध्यम से प्रस्तुत किया गया है।",58.56325738176107
bf16,Hindi,13,इस पुस्तक का उद्देश्य संस्कृत भाषा की प्राकृतिक व्याख्या करना और विचारों के उचित व्यवहार के बारे में जागरूकता पैदा करना है।,39.47842541121191
bf16,Hindi,14,प्रोफेसर असितकुमार बंधोपद्याय ने अपने पूर्वोत्तर के प्राचीन शहर हावड़ा की पूरी इतिहास को कंप्लीट किया है जिसका पहला और दूसरा वolumes 1994 और 1995 में प्रकाशित किया गया है।,39.7817409197409
bf16,Hindi,15,कैथ्या के पुराने हिस्से के सामने कैथ्या हॉल के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामने कैथ्या के सामन,10.8918784364874
bf16,Hindi,16,महाराज और खान्सामा (भारत में प्राचीन काल से ही कुलीनों के रेसिपी के रूप में जाने जाते हैं) के बीच की पाक शैली को कई सालों और हजारों वर्षों के बाद भी किसी भी तरह से पारंपरिक रूप से प्राप्त किया गया है।,24.785001144013776
