precision,language,idx,hyp,chrf
bf16,Hindi,0,"The service-oriented people have a variety of traits, such as their shoes, clothes, ties, jewelry, hairstyle, makeup, perfume, cosmetics, etc.",50.84343167604902
bf16,Hindi,1,"The Ajanta caves in Aurangabad district of Maharashtra, which are about 2,000 years old, have sculptures and paintings of the first century BCE to the fifth century CE.",52.08725002636542
bf16,Hindi,2,The spread of the body's color is gradually absorbed into the outer lines.,26.9326352185903
bf16,Hindi,3,"Ashoka started to build statues and magnificent monuments using stone, while before that, he used to use wood and clay.",36.1315024265671
bf16,Hindi,4,"The delicious and famous Maharashtrian dish of masala aloo is made by mixing lentils with spices, then coating it with besan batter, and then deep-frying it.",41.71683195629005
bf16,Hindi,5,"Chettinad cuisine is the cuisine of the Chettinad region of Tamil Nadu, which is known as Chettiar or Nagarathar.",52.58801005173458
bf16,Hindi,6,Cardamom is a native of India and is used in sweet and medicinal forms.,26.46018134844824
bf16,Hindi,7,Grind it in a dry grinder or in a stone mortar.,47.61607202667894
bf16,Hindi,8,"Punjab's cities have their own preferences, such as Amritsar's people like Amritsari kulcha, boiled rice and milk products.",42.90469950568792
bf16,Hindi,9,"Send Ram with the rishi, and send Lakshman with the rishi.",55.294859578091845
bf16,Hindi,10,But Mangal Pandey did this heroic act with a great and noble purpose.,34.08125457163642
bf16,Hindi,11,"When the garlic is parboiled, it is mixed with some spices for a long time and then fried with some mustard and turmeric for 5-6 minutes until the meat is soaked up by all the spices.",34.336169019326555
bf16,Hindi,12,"The book is a treatise on the nature of animals, birds, and humans, presented through the characters of the animal kingdom.",60.492362289720845
bf16,Hindi,13,It seems that the book's purpose is to promote the knowledge of the art of writing and the wisdom of conduct.,36.41723100912478
bf16,Hindi,14,"Professor Asit Kumar Banerjee has played a significant role in compiling the history of the entire city of Howrah in the form of two volumes, namely, the first and the second, titled Hāvādār Ītīvṛt (the first and the second volume).",39.59421005191272
bf16,Hindi,15,"The Chaitanya mandapam in the front has a semi-circular Chaitanya chaap, which is open on the side where the main Chaitanya chaap is open, and there is no window in the main Chaitanya chaap.",32.69483068542826
bf16,Hindi,16,The royal families and the cooks (as they are called in India) of the past generations have perfected these recipes and now these recipes have been passed on through generations orally.,45.71840005524636
bf16,Hindi,17,"The traditional way of preparing vazhakkai, or the main chef, is with the help of a dal.",31.13630435400442
bf16,Hindi,18,"Pav Bhaji is a fast food dish from Maharashtra, consisting of a thick stew of vegetables, which is usually cooked in ghee and served with a soft bread roll (pav).",71.2486704234533
bf16,Hindi,19,"The Habbakuk and Lalla-Dyad of Kashmiri art are their spiritual and deep feelings expressed in their works, the Mira Bai of Rajasthan are famous for their unique bhakti in Tamil, the Andal of Kannada has profound knowledge of the age of the poets and the Akka Mahadevi of Kannada has a great contribution to the literature of women in the age of the poets.",39.047728231366094
bf16,Hindi,20,"The caves of the tiger, which have Buddhist paintings, are located in the district of Dharam in Madhya Pradesh, 97 km from the city of Dharam.",57.02306588714952
bf16,Hindi,21,"The root of a tree or a plant is the common meaning of the word in Sanskrit literature, but in a figurative sense, it can mean the lower part of any object.",53.34518660781368
bf16,Hindi,22,The Indus Valley Civilization is known for its technical knowledge.,59.33713746794199
bf16,Hindi,23,All the Kauravas die; only five Pandavas and Krishna survive.,75.94427437563334
bf16,Hindi,24,The war lasts for 18 days and the defeat of the Kauravas is the end of the war.,50.232131614963535
bf16,Hindi,25,"The central theme of the Mahabharata is the struggle for the throne of Hastinapura, a kingdom in the north of modern Delhi, and the kingdom is named after the legendary king Bharata.",48.48376749754994
bf16,Hindi,26,"The number of vegetarians in Karnataka is higher than that of meat-eaters, so their food is mainly vegetarian.",43.871214195022375
bf16,Hindi,27,"They are told by Sanjay, who is telling them what is happening in the battlefield.",56.70369665277127
bf16,Hindi,28,"Tamil has two great epics, Silappadikaram and Manimekalai.",49.68415024029717
bf16,Hindi,29,"In this region, the use of powdered chilli is done with caution.",54.14477331186753
bf16,Hindi,30,"The word yoga is derived from the Sanskrit root word yuj, which means to join or unite.",62.30594737416266
bf16,Hindi,31,The walls of Odisha temples are adorned with various sculptures depicting different forms of deities.,31.95156724833747
bf16,Hindi,32,"Vishweshwara, who had turned towards the king, said: ""O king, you do not give the glory you deserve by saying that you will never do such a thing again.",23.53478883633697
bf16,Hindi,33,"Only when Krishna understood Arjuna's despair, he changed his attitude and began to teach the mystery of religious conflict in the world.",43.61739361933139
bf16,Hindi,34,"As you add the flour to the rice, you will occasionally add a little coconut oil.",36.61027472440768
bf16,Hindi,35,"You can start by mixing a cup of coconut milk with a spoonful of rice flour, and then mix the rice flour with the coconut milk.",33.424638977659775
bf16,Hindi,36,"The construction of the magnificent gold dome of the Nanded Gurudwara was done by Maharaja Ranjit Singh in the 1830s, and it is a beautiful and unique example of the art of the Nanded region.",40.89476740428027
bf16,Hindi,37,"The Samaveda is a collection of selected hymns, each of which is arranged in a particular metre or mode and is sung in a particular tune.",26.453324354599328
bf16,Hindi,38,The description of the capital of Valmiki by the author of the Koshal gives a clear indication that Ayodhya was not a modern city like our modern cities.,57.08354395015283
bf16,Hindi,39,"Once you say that you will do it, there is no other option left.",27.36096485798522
bf16,Hindi,40,"In recent years, the exchange rate and foreign exchange reserves have been seen differently.",41.33627984509698
bf16,Hindi,41,"When a credit card holder has a past due balance of more than three days, only then can banks inform credit information companies (CICs) that the past due balance is or is not overdue.",43.34247294148636
bf16,Hindi,42,The country can improve its economic situation by attracting foreign direct investment.,36.48894265692842
bf16,Hindi,43,"However, the speedy implementation of the package is encouraged, if the package is approved by the bank within 90 days of the application being received. If the application is approved within the time limit of the second stage, the classification of the applicant will be reclassified to the second stage of the classification.",51.35313545328118
bf16,Hindi,44,"Is the dynamism of private capital investment necessary to limit the concentration of wealth to a few people, or does it contribute to development, competition, and technological progress, which in turn reduce inequality?",56.57132285300997
bf16,Hindi,45,"This market is characterized by high volatility and inflation, which is being curbed and controlled by intervention.",34.5626496163438
bf16,Hindi,46,The second quarter's high frequency data show that economic performance is still strong.,35.36815963670868
bf16,Hindi,47,"In the field of political economy, a country is a specific entity and its market is affected by the same events that affect other countries.",22.515944123606857
bf16,Hindi,48,"The meaning of the term ""chalanidhi"" is how much money can be made in a short period of time by selling a financial asset at a very low price.",27.18538684025564
bf16,Hindi,49,The income tax policy should be based on personal motives rather than on the basis of objective and objective information.,44.15843092607148
bf16,Hindi,50,"Therefore, the interest rate on the date of maturity of the bond is not payable, and the result is a loss of capital.",32.17096314081102
bf16,Hindi,51,India's fastest payment system - UPI - will be linked with other payment systems in the same way as in other countries. The possibility of linking payment systems in India with other countries' payment systems will also bring about a change in the payment systems in India.,43.9888191262053
bf16,Hindi,52,The use of liquefied natural gas (LNG) in power plants and industrial (chemical) plants has become very important in the energy sector.,37.81005322731529
bf16,Hindi,53,"Although marketing sites may help you sell, they do not help you build a long-term company or a brand that is worth buying.",23.81553271857141
bf16,Hindi,54,"The payment system has made a significant contribution to the payment system, and the payment system has been appointed as a payment system operator.",24.370944686926816
bf16,Hindi,55,The current law applies to all payment groups that transact online or e-commerce.,38.56502879727227
bf16,Hindi,56,"According to the record, this country is trading in a comparative way, importing goods that yield a large profit, and buying goods that yield a relatively small profit (even though they are still positive), and it will benefit from international trade.",35.65451512024099
bf16,Hindi,57,"The banking sector's deposit growth rate has increased by 16.2% in the last six months, compared to 6.7% in the previous year.",17.45997837745957
bf16,Hindi,58,"The cost of crop harvesting before and after the crop is paid for, the cost of irrigation, pruning, thinning, classification and transportation of the products of the gods, as well as the cost of the work of the priests, are paid for.",28.483501184848937
bf16,Hindi,59,Loans for agricultural and related operations are made for medium or long-term to purchase agricultural machinery for irrigation and other development works in the field of agriculture.,51.48583207336584
bf16,Hindi,60,"The banking inspector is checking the impact of banks on the shadow banks and trying to limit the flow of funds and capital through better regulation in order to limit the impact on the economy as a whole, which is also a shadow banking system.",38.21929753696601
bf16,Hindi,61,The global financial crisis has forced the government to collect more official data and to identify more and better gaps.,42.97340361042848
bf16,Hindi,62,The market price is determined by the need to balance supply and demand.,43.69939787701823
bf16,Hindi,63,This model and other parameters (such as supply and demand levels) determine the level of supply and demand.,44.54762020821252
bf16,Hindi,64,The current account surplus is the difference between the current account balance and the net capital and financial account balance.,24.76151708683941
bf16,Hindi,65,The trade in goods and services from Malaysia and the services from Malaysia to the world has a trade balance.,38.22228460138422
bf16,Hindi,66,"The Ministry of Micro, Small and Medium Enterprises (MSME) has been working continuously to improve its position in the global EODB ranking and has been able to do so by placing itself in the MSME category. The Ministry has also been able to address the difficulties faced by MSMEs in the process of joining the GVC.",34.0890231037266
bf16,Hindi,67,"The inflation rate for 2022-23 is expected to be 6.7 percent, where risks are equally balanced, the second quarter is expected to be 7.1 percent, the third quarter is expected to be 6.5 percent, and the fourth quarter is expected to be 5.8 percent.",39.076167576316536
bf16,Hindi,68,"India's imports are increasing, but exports are increasing more.",27.552047785562344
bf16,Hindi,69,"Currently, economic accounting is mainly focused on economic performance (GDP growth rate, government revenue, government debt, government expenditure, government revenue, etc.) and social performance (poverty, corruption, employment levels, nutrition levels, etc.) on the basis of which the country's economic and social development is evaluated.",54.35810136270919
bf16,Hindi,70,"The main topics of current economic discussions are the balance between social and economic work, and the relationship between social and economic work with environmental work. Some of these issues are not given enough attention.",51.45820300101713
bf16,Hindi,71,"After the restructuring, the fair value of the loan is calculated on the basis of the pre-restructuring interest rate and the date of restructuring, and the amount of the loan is calculated on the basis of the fair value of the loan as of the date of restructuring, and the date of restructuring, and the amount of the loan is calculated on the basis of the fair value of the loan as of the date of restructuring, and the date of restructuring, and the amount of the loan",42.45408873683298
bf16,Hindi,72,"The Reserve Bank of India (RBI) has provided a special liquidity facility of Rs 50,000 crore to the financial markets to restore confidence in the markets.",41.10725666204344
bf16,Hindi,73,"The recent sharp and rapid growths and additional large growths have resulted in a situation of unprecedented instability, and people are becoming more risk-averse.",32.80746272720425
bf16,Hindi,74,"The full value notes will be deposited in the Reserve Bank of India's treasury offices, while the half value and non-issued notes will be presented for deposit and will be processed accordingly.",43.7705639070369
bf16,Hindi,75,The amount of debt in India has increased significantly.,26.85996468925169
bf16,Hindi,76,"Despite the volatile global environment, India's economic position is still strong.",41.1383069535063
bf16,Hindi,77,"There is a sense of unease in the financial markets, which may have a real impact on the economy and financial stability.",55.448875171114295
bf16,Hindi,78,"When the number of notes given is more than 5 and their total value is more than 5000, the person who gives the note is advised to give the note in the form of a currency note to the bank. The note should be given in the form of a currency note to the bank. The bank may also ask the person to give the note in the form of a currency note to the bank. The bank may also ask the person to give the note in the",30.557477877664084
bf16,Hindi,79,"The court has also considered that the protection of privacy is an important component of the right to privacy and therefore the publication of information should be limited to the extent necessary to protect the interests of the individuals concerned, and only such information should be collected that is necessary and only for the purpose for which it is collected.",47.02354903497813
bf16,Hindi,80,Cybercriminals hack data or services to steal other computers or networks.,40.87330770292839
bf16,Hindi,81,All packaged foods and packed foods contain a lot of sodium because of the use of salt in them.,43.886080552385
bf16,Hindi,82,"When a vehicle is moving at a certain speed, sudden braking, changing the speed of a vehicle in a moving car or a sudden accident can enter the internal parts of an uncontrolled car.",39.36891724252342
bf16,Hindi,83,"But that morning, a white prisoner who had been released by General Singh, reached the English camp and informed General that he had heard that General Singh was going to leave the fort empty, but not until he had taken revenge.",51.80203147261666
bf16,Hindi,84,"At the time, the chief of the army was Robert Montgomery.",59.817987723447295
bf16,Hindi,85,"Although the number of British soldiers stationed in Meerut was four times that of Meerut, the news did not reach the British officers until after the news had reached Meerut, and it was difficult for them to determine whether the British officers were in contact with the Meerut soldiers or not.",38.98367506999663
bf16,Hindi,86,Their only problem is that their brains are not at all affected by their love.,25.004958507760257
bf16,Hindi,87,"Every day, new pieces were coming in from both sides.",57.26609005843657
bf16,Hindi,88,"If any person has personal hatred, then the name of Panditji should not be included in the list of martyrs, but in the list of murderers.",37.55072502308433
bf16,Hindi,89,"He looked at me for a moment and said, ""I'm sorry, we don't have any empty space,"" and then Alvida.",31.08645845984332
bf16,Hindi,90,"Have you ever thought that if we remove the garbage from our homes and surroundings, what will happen?",72.1464313543272
bf16,Hindi,91,"In recent years, there have been many changes in the world around us due to the use of digital technology.",64.241209710706
bf16,Hindi,92,"In the past, a letter took several days to reach its destination, and each recipient received his own copy and sent a reply.",51.79049401845904
