precision,language,idx,hyp,chrf
bf16,Hindi,0,"एक व्यक्ति की देखभाल में अनेक तत्व होते हैं जिनका चयन किया जाता है। उदाहरण के लिए, शॉल, ज्वालामुखी या हथौड़ी, आदि।",14.536214184758276
bf16,Hindi,1,अजांत (अजांत ) जिले में अजांत (अजांत ) जिले में अजांत (अजांत ) जिले में अजांत (अजांत ) जिले में अजांत (अजांत ) जिले में अजांत (अजांत ) जिले में अजांत (अजांत ) जिले में अजांत (अजांत ) जिले में अजांत (अजांत ) जिले में अजांत (अजांत ) जिल,8.225796681238608
bf16,Hindi,2,"शरीर रंग को जोड़ने के साथ-साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ, शरीर रंग को जोड़ने के साथ,",7.708287675547034
bf16,Hindi,3,"अशोक का उपयोग तांबे के निर्माण के लिए और महलों के निर्माण के लिए बहुत अधिक था, जबकि पूर्वी एशिया में पहले से ही प्रचलित  tradition में  wood और  clay का उपयोग था।",19.79462686769204
bf16,Hindi,4,पोटाटो का मिश्रण मसालाओं से भरा हुआ बड़े पैमाने पर परोसा जाता है और फिर गहरे फ्रेश फ्राइज़ में डाला जाता है।,15.39510503803264
bf16,Hindi,5,चट्टीनाद की पौराणिक शैली अद्वितीय और अन्य पूर्वोत्तर भारतीय राज्यों से अलग है।,7.923513419235828
bf16,Hindi,6,सिंकमी है भारतीय और इसके उपयोग का विस्तृत विवरण देखें।,10.97670594606356
bf16,Hindi,7,इसे एक कढ़ाई में मिलाकर बनाएं।,8.641910175256179
bf16,Hindi,8,"पंजाब में, हर शहर का अपना अलग व्यंजन है, जैसे- Amritsar में पंजाबी खट्टा, मक्का, मसालेदार प्याज और अदरक की प्याज, खट्टा-मसाला प्याज, मक्का-मसाला प्याज, मसालेदार प्याज, मक्का-मसाला प्याज, मसालेदार प्याज, मक्का-मसाला प्याज, मसालेदार प",18.056718021138103
bf16,Hindi,9,देवता राम को भेजें और सत्यनारायण को भी भेजें।,28.722968228255464
bf16,Hindi,10,"मंगल भैया का साहसपूर्ण कदम था, जिसे अद्भुत भावना के साथ किया गया था।",12.38042172807899
bf16,Hindi,11,मटन में अंडे डालें और मटन में मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें और मक्खन डालें,8.04243883102288
bf16,Hindi,12,हिपोटापडेसा एक बुद्धिमान विज्ञान का ग्रंथ है जिसमें जीवन के विभिन्न रूपों का वर्णन किया गया है।,24.185539095951487
bf16,Hindi,13,"इस पुस्तक के उद्देश्य से पाठकों को Sanskrit शब्दकोश का उपयोग करना चाहिए, और अपने व्यवहार में सही व्यवहार का पालन करना चाहिए।",25.892411626817136
bf16,Hindi,14,प्रोफेसर असितकुमार कुमार बंडोपाध्याय ने अपने घर पर ही अपने शहर का इतिहास लिखा जिसे Howrah Saharer Itibrrito (First and Second Volume) के रूप में प्रकाशित किया गया।,23.228227497420256
