precision,language,idx,hyp,chrf
bf16,Hindi,0,"एक दिखावा एक सेवक के साथ संबंधित विशेषताओं का समूह है, जैसे उनके शूज, वस्त्र, टाइ, जड़वाल, शैली, ड्रेसिंग, घड़ी, कोमल, फ्रैक्शन, फूल, आदि।",29.41927209757701
bf16,Hindi,1,"अजंटा, महाराष्ट्र के अरुंगाबाद जिले में स्थित है जिसमें 29 चित्ताया और विहार कवर्ण ज्यादा संस्कृति और पेंटिंग से शुरू होकर पंद्रहवीं शताब्दी तक बने हैं।",34.50019870321942
bf16,Hindi,2,शरीर की रंग बाहरी रेखा के साथ मिलकर विस्तार का प्रभाव बनाता है।,44.04360181936282
bf16,Hindi,3,"अशोक ने बहुत अधिक राज्य के लिए चांदी के चित्रों और बड़े उपलक्ष्यों के निर्माण की शुरुआत की, जबकि पूर्व का धारणा लोहे और चट्टानों के चित्रों और उपलक्ष्यों के निर्माण के लिए था।",20.988588774334016
bf16,Hindi,4,भास्कर राज्य में भी भीजे गए पोटाटों के मसाले में मिलाए जाने वाले भी बेसन बैटर और अच्छी तरह से गर्म करने से यह एक बहुत दिलचस्प और प्रसिद्ध चीज है।,28.803328312183783
bf16,Hindi,5,"चेत्तिनाड़ की पाक शैली एक समुदाय की पाक शैली है जिसे नट्टुकोटाई चेट्टीर्स, या नागराथर्स कहा जाता है, जो तमिलनाडु राज्य के चेत्तिनाड़ क्षेत्र से आते हैं।",27.45912162979885
bf16,Hindi,6,"चना भारत में विशाल विस्तार में विकसित हुआ है और इसका उपयोग विभिन्न रूपों में होता है, जैसे कि एक विशेष रूप से खाद्य पदार्थ के रूप में और एक विशेष रूप से रोगों के उपचार के लिए।",29.04580793443204
bf16,Hindi,7,इसे एक द्रव्यमान ग्रिड या एक चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी चट्टानी,4.446678013970671
bf16,Hindi,8,"पंजाब के प्रत्येक शहर की विभिन्न पसंद होती हैं, जैसे अमृतसर के लोग अमृतसरी कुल्ची, फूल फूल वाले पारंथा और दूध वस्त्रों की पसंद रखते हैं।",42.22027889601145
bf16,Hindi,9,राम को सागर के निकट एक वैदिक शास्त्री के साथ भेजें और लक्ष्मण को भी भेजें।,53.26605725454062
bf16,Hindi,10,लेकिन मंगल पंडे का बलिदान एक उच्च और उच्च विश्वास के लिए किया गया था।,20.478146516033007
bf16,Hindi,11,"जब आलू त्वरित हो जाते हैं, तो मर्मान अंडर बीन और तरकीबी पीसे जाते हैं और अपने अंडर बीन में अधिक समय तक गरम किया जाता है ताकि सभी चीनी अंडर बीन में अवशोषित हो जाएं।",14.23274807736541
bf16,Hindi,12,"हितोपदेशा जीवन की शान्ति और सुख के लिए बिना विश्वास के विचारों के द्वारा विभिन्न प्रकार के जीवों, जैसे भूमि, जंगल, जल, जीवन, जीवन और जीवन के बीच विभिन्न प्रकार के जीवों के द्वारा प्रस्तुत किया गया है।",29.00885309244484
bf16,Hindi,13,इस ग्रन्थ का उद्देश्य संस्कृत व्यक्ति की व्यक्तित्व और अनुशासन के ज्ञान को बढ़ावा देना है।,33.32094977853614
bf16,Hindi,14,असितकुमार बंदरपाडय ने अपने गांव होराह की पूरी इतिहास को एक विशेष रूप से लिखा और इसे अपने गांव के लिए नाम दिया था।,19.205320045575967
bf16,Hindi,15,कायिया घर के आगे का हिस्सा एक आधारित चतुर्थांश कायिया आर्क के मूल्यांकन के साथ एक खुले आगे के फाड़े के साथ एक बालक फाड़े के साथ एक बालक फाड़े के साथ एक बालक फाड़े के साथ एक बालक फाड़े के साथ एक बालक फाड़े के साथ एक बालक फाड़े के साथ एक बालक फाड़े के साथ एक बालक फाड़े के साथ एक बालक फाड़े के साथ एक बालक फ,11.19375895579082
bf16,Hindi,16,दशकों से 'महाराज' और 'खंसामस' (आज के अनुसार भारत में विशेषज्ञ चावल बनाने वाले व्यक्ति को बुलाया जाता है) ने दशकों से चावल के रेसिपी बनाने में विशेषज्ञता दिखाई दी है और इन रेसिपी को लाखों वर्षों के लिए शब्दों के माध्यम से अंतर्निहित हो गई है।,27.299353870054105
