precision,language,idx,hyp,chrf
bf16,Hindi,0,"उपस्थिति सेवा के किसी भी व्यक्ति के लिए संबंधित विशेषताओं का एक समूह है, जैसे उनके जूते, कपड़े, टाई, गहने, हेयर स्टाइल, मेकअप, घड़ी, कॉस्मेटिक,perfume आदि।",45.83821677995129
bf16,Hindi,1,"अजांता, जो महाराष्ट्र के अरावली जिले में स्थित है, बीसवीं शताब्दी ईसा पूर्व से बीसवीं शताब्दी ईसा पूर्व के लिए २९ कैत्या और विहार गुफाओं को सजाया गया है।",35.15320018277318
bf16,Hindi,2,"शरीर का रंग बाहरी रेखा के साथ मिश्रित होता है, जिससे वॉल्यूम की प्रभावकारिता होती है।",38.54844164224402
bf16,Hindi,3,"अशोक ने पत्थर के लिए मूर्तियों और महान मन्दिरों के लिए व्यापक रूप से उपयोग करने शुरू किया, जबकि इससे पहले का परंपरा लकड़ी और मिट्टी का काम करने का था।",49.33481870927819
bf16,Hindi,4,"महाराष्ट्र में स्वादिष्ट और प्रसिद्ध व्यंजन के रूप में पराठा में मिक्स केले, बेसन में डुबोकर और तलने से तैयार इस स्वादिष्ट और प्रसिद्ध पकवान का एक हिस्सा।",38.58298117481431
bf16,Hindi,5,चेन्नैड की पाक शैली तमिलनाडू राज्य के नाम से जाने जाने वाले नटुकोटाई चेटीयरों या नागराथार समुदाय के लिए एक समुदाय का पाक है।,25.62951222877271
bf16,Hindi,6,"चनेन भारत में मूल है और, इसलिए, इसका उपयोग स्वाद के एजेंट से लेकर औषधीय एजेंट के रूप में भी है।",36.08744801954714
bf16,Hindi,7,इस को पाउडर में पीसकर या एक सूखे ग्राइंडर में या एक पत्थर की पिसल में कर सकते हैं।,42.77593061685428
bf16,Hindi,8,पंजाब के प्रत्येक शहर में लोगों के विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष रूप से विशेष,12.924790946243895
bf16,Hindi,9,राम को ऋषि के साथ भेजें और लक्ष्मण को भी भेजें।,73.02273622906328
bf16,Hindi,10,लेकिन मगन पांडे का बहादुर कार्य एक उच्च और निख्रणीय सिद्धांत के प्रति समर्पित भाव से किया गया था।,33.81099722782575
bf16,Hindi,11,"एक बार जब प्याज का रंग पारदर्शी हो जाए, तो मेथी के साथ मटन को साफ़ करें और कुछ समय तक सभी मसाले को मटन में अवशोषित करने के लिए साफ़ करें।",22.51065300881841
bf16,Hindi,12,"हिटोपदेसा एक दुनिया की ज्ञान की पुस्तक है जो पक्षियों, जानवरों और मनुष्यों के माध्यम से प्रस्तुत की जाती है।",50.029989621853545
bf16,Hindi,13,पुस्तक का उद्देश्य संस्कृत अभिव्यक्ति की दक्षता और बुद्धिमान व्यवहार के ज्ञान को प्रोत्साहित करना है।,63.36329993658072
bf16,Hindi,14,"प्रोफेसर असितकुमार बन्डेपायोक ने अपने घर का पूरा इतिहास 1994 और 1995 में प्रकाशित किया था, जिसे Howrah Saharer Itibrrito (First and Second Volume) के रूप में।",28.444775659565803
bf16,Hindi,15,कैत्यालय का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख द्वार का मुख,6.006940579417533
bf16,Hindi,16,"'महाराज' और 'खानसमास' (जैसा कि भारत में विशेषज्ञ पाक कला के रूप में पारंपरिक रूप से कहा जाता है) ने हजारों वर्षों के मौखिक परंपरा के माध्यम से व्यंजनों को वर्षों से परिष्कृत किया है, और ये व्यंजनों को मौखिक परंपरा के माध्यम से हजारों वर्षों से पारित किया गया है।",37.584238668477774
bf16,Hindi,17,"पारंपरिक रूप से, यह एक विशाल वाजा, या हेड शेफ, और एक अदालत के वाजा, या शेफ के साथ किया जाता है।",25.26295035877984
bf16,Hindi,18,"पाव भजी: यह महाराष्ट्र से एक फास्ट फूड व्यंजन है, जिसमें आमतौर पर मक्खन में तैयार एक मोटी सब्जी कचौड़ी (भजी) आमतौर पर सॉस के साथ एक नरम रोटी (पव) के साथ तैयार किया जाता है।",44.39856089602144
bf16,Hindi,19,"लाला देव और हब्बा खातून के मेघालय के रचनाओं के लिए उनके रहस्यमय स्वाद और गहन अभिव्यक्ति की तीव्र पीड़ा के लिए जाने जाते हैं, मीराबाई के राजस्थान के रचनाओं के लिए अद्वितीय भक्ति की गुणवत्ता के लिए जाने जाते हैं, Andal के तमिल और अक्का महादेवी के कन्नड़ के वाचानों के लिए महान महिला योगदान का प्रमाण है।",40.8314198917001
bf16,Hindi,20,दहर जिले के 97 किमी दूर बाघा गुफाएं बौद्ध कलाकृतियों से बनी हैं।,20.876542613047032
bf16,Hindi,21,"संस्कृत साहित्य में मुला का सामान्य अर्थ एक पौधे या पेड़ के मूल का होता है, लेकिन फौजी रूप से, किसी चीज के निचले भाग या निचले भाग या नीचे का होता है।",38.1315145491344
bf16,Hindi,22,इंडो-यूनानी सभ्यता के लिए अपने विभिन्न क्षेत्रों में तकनीकी ज्ञान के लिए जाना जाता है।,62.56857260868388
bf16,Hindi,23,सभी कौरव मरते हैं; केवल पांच पांडव भाइयों और कृष्ण जीवित हैं।,61.89762720846529
bf16,Hindi,24,कौरव सेना के विरुद्ध १८ दिन तक का युद्ध चलता है और अंत में कौरव सेना का पराजय होता है।,34.27156605200215
bf16,Hindi,25,"महाभारत का मुख्य कहानी है कि हस्तिनापुर के सिंहासन पर उत्तराधिकार के लिए एक संघर्ष है, जो आधुनिक दिल्ली के ठीक उत्तर में एक राज्य था जो एक जनजाति के लिए सबसे आम तौर पर ज्ञात था, जिसे महाभारत कहा जाता है।",56.255546246316825
bf16,Hindi,26,"कर्नाटक में शाकाहारी की संख्या नॉन-वेज की संख्या से अधिक है, इसलिए उनके पाक कला में शाकाहारी व्यंजन मुख्य रूप से शामिल हैं।",58.355338156506576
bf16,Hindi,27,"वह युद्ध के मैदान पर क्या हो रहा है, इस बारे में सुनाने के लिए, सान्या द्वारा उत्तर दिया जाता है।",41.52118465372239
bf16,Hindi,28,"तमिल में दो महाकाव्य हैं, जिन्हें Cilapathikaram और Manimekalai कहा जाता है।",29.461309528210226
