model,precision,language,nll_per_char,vram_gb,increase_vs_bf16_pct
meta-llama/Llama-3.2-3B,bf16,English,0.6415156145984716,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Hindi,0.9993547678217103,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Bengali,1.2203672383802617,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Marathi,1.2528487180177654,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Gujarati,1.4288515478416004,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Punjabi,1.6975382951953262,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Odia,1.4231918031644195,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Tamil,1.0384236689160713,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Telugu,1.2591467774776943,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Kannada,1.185237612029648,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,bf16,Malayalam,1.1483504328324807,5.984702110290527,0.0
meta-llama/Llama-3.2-3B,int8,English,0.6411799227456911,3.370713233947754,-0.05232793172004202
meta-llama/Llama-3.2-3B,int8,Hindi,1.003531577509601,3.370713233947754,0.41795064399350323
meta-llama/Llama-3.2-3B,int8,Bengali,1.2304309051118263,3.370713233947754,0.8246424858898704
meta-llama/Llama-3.2-3B,int8,Marathi,1.2640582459929783,3.370713233947754,0.8947231867665995
meta-llama/Llama-3.2-3B,int8,Gujarati,1.4492901014051713,3.370713233947754,1.430418268045064
meta-llama/Llama-3.2-3B,int8,Punjabi,1.7134873490485336,3.370713233947754,0.9395401504843415
meta-llama/Llama-3.2-3B,int8,Odia,1.4399231654735023,3.370713233947754,1.175622447507152
meta-llama/Llama-3.2-3B,int8,Tamil,1.0516004075422067,3.370713233947754,1.268917400533609
meta-llama/Llama-3.2-3B,int8,Telugu,1.2756276392414772,3.370713233947754,1.3088912316320256
meta-llama/Llama-3.2-3B,int8,Kannada,1.2032829609359141,3.370713233947754,1.522508965553726
meta-llama/Llama-3.2-3B,int8,Malayalam,1.1645811814259468,3.370713233947754,1.4133968281295317
meta-llama/Llama-3.2-3B,nf4,English,0.6496806551997067,2.219485282897949,1.2727734782177702
meta-llama/Llama-3.2-3B,nf4,Hindi,1.0162581480667643,2.219485282897949,1.6914293891745924
meta-llama/Llama-3.2-3B,nf4,Bengali,1.280635957197079,2.219485282897949,4.938572334735003
meta-llama/Llama-3.2-3B,nf4,Marathi,1.2974238920913097,2.219485282897949,3.557905550166529
meta-llama/Llama-3.2-3B,nf4,Gujarati,1.5124383835777253,2.219485282897949,5.849931426563515
meta-llama/Llama-3.2-3B,nf4,Punjabi,1.7702121047479589,2.219485282897949,4.281129312860088
meta-llama/Llama-3.2-3B,nf4,Odia,1.5478610001289614,2.219485282897949,8.759831014157339
meta-llama/Llama-3.2-3B,nf4,Tamil,1.1240428179528923,2.219485282897949,8.245107618376224
meta-llama/Llama-3.2-3B,nf4,Telugu,1.339833179672572,2.219485282897949,6.4080219747301825
meta-llama/Llama-3.2-3B,nf4,Kannada,1.273723283445553,2.219485282897949,7.465648281645287
meta-llama/Llama-3.2-3B,nf4,Malayalam,1.2407592513126122,2.219485282897949,8.04709223230744
