precision,language,idx,hyp,chrf
bf16,Hindi,0,"For service personnel, the uniform is a combination of many qualities, such as their shoes, clothes, ties, jewelry, hairstyle, makeup, watch, cosmetics, perfume, etc.",59.69320529936386
bf16,Hindi,1,The Ajanta Caves in Aurangabad district of Maharashtra are a collection of 19 Buddhist caves built between the first century BC and the fifth century AD.,41.05275372930623
bf16,Hindi,2,The influence of expansion makes the color of the body blend with the outer line.,36.16131803767833
bf16,Hindi,3,"Ashoka began to use stone for making statues and magnificent monuments, while before that, traditional use was wood and clay.",39.73914134646219
bf16,Hindi,4,"This delicious and famous dish of Maharashtra is made by mixing spices in aloo, making a layer of besan batter, and then deep-frying it well.",47.806935881030135
bf16,Hindi,5,Chettinad cuisine is the food of the Chettiar community or themselves called Nagerathars.,37.12621367076798
bf16,Hindi,6,"Cinnamon is native to India and is used in various forms, including as a flavoring agent and as a medicinal agent.",60.20281715153312
bf16,Hindi,7,Grind it in a dry grinder or grind it in a mortar and pestle.,41.10496855145795
bf16,Hindi,8,"Every city of Punjab has its own choice, like Amritsar people especially like Amritsar Kulche, Bhara Paratha and milk products.",41.25807221042981
bf16,Hindi,9,Send Ram with Rishi and also send Lakshman.,41.06489867951916
bf16,Hindi,10,But Captain Hanuman did this daring deed for the sake of a lofty and noble principle.,34.54726199256174
bf16,Hindi,11,"When onions are translucent, add some time-old meat and ground turmeric to the mixture of spices and fry them for 5-6 minutes until all the spices are absorbed.",53.3628319247167
bf16,Hindi,12,"The book is a book in which the worldly knowledge of birds, animals, and human beings is presented through the characters of birds, animals, and humans.",70.10620752933433
bf16,Hindi,13,It seems that the book aims to encourage the knowledge of proficiency and prudent behavior in Sanskrit expression.,59.618779477456286
bf16,Hindi,14,Professor Asit Kumar Bandopadhya has played a significant role in compiling the history of the entire city of Howrah in the first and second parts of the Howrah Shereer (first and second parts).,42.34983819797
bf16,Hindi,15,"The main chhatri of the temple is open on the front side, where a wooden building is visible and in some cases there is no main chhatri window.",33.488416585725965
bf16,Hindi,16,"The generations of maharajas and cooks (as they are traditionally called in India) have perfected these culinary arts for centuries, and now these culinary arts are being passed on through oral tradition for hundreds of years.",52.65479417532893
bf16,Hindi,17,"Traditionally, the preparation of food is done by the cooks, or by the head cook, assisted by the cooks.",36.62056754697341
bf16,Hindi,18,"Pav bhaji: This is a fast food dish from Maharashtra, in which a thick mixture of vegetables is cooked in butter and served with a soft bread roll (pav).",65.89873396475254
bf16,Hindi,19,"Haibakhtun and Lall-Dydi Kashmiri poetry is known for its spiritual tone and deep emotions, the poems of Mirabai in Rajasthan are popular for their unique devotion, the profound knowledge of Andal in Tamil and the words of Akka Mahadevi in Kannada are evidence of the widespread contribution of women in the literature of that time.",44.69223623030583
bf16,Hindi,20,"The tiger caves, which are decorated with Buddhist murals, are located 97 km from the town of Dahar in Madhya Pradesh.",53.46906273327424
bf16,Hindi,21,"In Sanskrit literature, the general meaning of a word is the root, but in a metaphorical sense, it can be any part or bottom of any object.",47.14102377570487
bf16,Hindi,22,The Indus Valley Civilization is known for its technological knowledge in various regions.,71.90485266198218
bf16,Hindi,23,All Kauravas die; only five Pandavas and Krishna survive.,67.24430982024292
bf16,Hindi,24,The war lasted for eighteen days and ended with the defeat of the Kauravas.,74.24098760695517
bf16,Hindi,25,"The central story of the Mahabharata is the struggle for the throne of Hastinapur, a state that is modern Delhi just to the north, and which is the ancestral home of the tribe known as Bharata.",54.914011985969815
bf16,Hindi,26,"In Karnataka, the number of vegetarians is more than the number of meat eaters; therefore, their food is mainly vegetarian.",53.79872870128762
bf16,Hindi,27,"They are from Sanjay, who is telling them what is happening in the battlefield, and they are from the north.",48.76413626066377
bf16,Hindi,28,"Two great Tamil epics, Silappadikaram and Manimekhalai, are available in Tamil.",44.24622295824048
bf16,Hindi,29,The use of chili powder in this region is carefully done.,69.23560102582348
bf16,Hindi,30,"Yoga is derived from the Sanskrit root yuj, which means to join or unite.",59.51605743590801
bf16,Hindi,31,"Odissi, which developed on the walls of temples in Odisha today, is a unique and different development from other northeastern Indian states.",31.212437628257213
bf16,Hindi,32,"Vishnupada now walked towards the king and spoke slowly: ""King, you do not look good when you promise something once and then break it.",30.98912451103898
bf16,Hindi,33,"Only when he understood the extent of Arjun's despair, Krishna changed his attitude and started teaching the secrets of religious conflicts in the world.",54.67246292693003
bf16,Hindi,34,"As you add rice flour to the character, occasionally add a little broken coconut.",33.70639676987624
bf16,Hindi,35,"You can start with a tablespoon of finely chopped coconut, then mix the rice flour well.",27.063745637921155
bf16,Hindi,36,"The beautiful and extraordinary Gurudwara was built in the vicinity of Nanded in 1835, due to the donation of Maharaja Ranjit Singh.",33.26009477522414
bf16,Hindi,37,The Samaveda is a collection of selected hymns that are arranged in a rhythmic tune by setting them in the notes of proposed verses or rhythmic tunes.,39.89983217902234
bf16,Hindi,38,The description of Ayodhya by Valmiki is clear that the ancient capital of Kausaly was not any less than the modern cities.,54.576309922156
bf16,Hindi,39,"Once you say that you will do it, there is no other option but to do it.",43.43993741338216
bf16,Hindi,40,"In recent years, the exchange rate of the rupee and the adequacy of foreign exchange reserves have been presented in different ways.",63.54821433705124
bf16,Hindi,41,"When a credit card account shows a three-day or more overdue balance, only the credit card companies (C.I.C.) can inform the late payment fees, etc., which may be imposed.",37.72066201903602
bf16,Hindi,42,The country can promote foreign direct investment to improve its economic situation.,44.41168791437023
bf16,Hindi,43,"However, if the approval of the package is implemented within 90 days of receiving the application from the bank, the status of the application can be re-established at the level of the bank when the application for re-classification is received.",50.68592514797524
bf16,Hindi,44,"Is the mobility of private capital accumulation essentially limited to a few people, or does it result in inequality as a result of the forces of development, competition, and technological progress?",50.702006679293845
bf16,Hindi,45,This market is designed to reduce volatility and prevent excessive growth of euphoria.,38.54631356007126
bf16,Hindi,46,The second quarter's high frequency data show that economic operations are still strong.,35.55347964470467
bf16,Hindi,47,"In the field of general economics, a nation is a subject matter and its markets are affected by each other in such a way that the economist calls it a comprehensive variable.",38.08003469854831
bf16,Hindi,48,"The meaning of the term ""cash"" is that the amount of financial assets that can be sold at a very small price in the short term is unlimited.",35.0703569812725
bf16,Hindi,49,"In general, the policy of recognition of income should be based on objective and recovery details rather than personal reasons.",53.752991469232526
