precision,language,idx,hyp,chrf
bf16,Hindi,0,"Service-related people have many traits, such as their jewellery, clothing, hats, shoes, etc., which are made of metal, jewelry, etc.",30.4405041120722
bf16,Hindi,1,The Ajanta Caves are one of the most important archaeological sites in India.,11.905465593420235
bf16,Hindi,2,The body's color changes as it moves outward.,10.903801414034728
bf16,Hindi,3,"The Ashoka palaces were built with a wide variety of materials, including stone, wood, and mud.",18.45202147773165
bf16,Hindi,4,"In Maharashtra, this dish is made with a mixture of spices and beans, and it is made by baking it in a tray.",24.78839806569171
bf16,Hindi,5,Chettinad food is a unique cuisine of the Chettinad community of Natatukaoti Chettiar.,31.16953218628372
bf16,Hindi,6,Dalchin is a popular Indian dish and is used as a source of nutrition and medicinal properties.,23.01641629434343
bf16,Hindi,7,Grind the sugar in a bowl and add the water and mix well.,16.540596091656102
bf16,Hindi,8,"People of Punjab like to visit Amritsar, Badalpur, Dhaulapur, Dhanagar, Dhanagari, Dhanagari, Dhanagari, Dhanagari, Dhanagari, Dhanagari, Dhanagari, Dhanagari, Dhanagari, Dhanagari, Dhanagari, D",17.155524861183228
bf16,Hindi,9,The Lord sends Rama to the other side and Lal to the other side.,22.707413234669698
bf16,Hindi,10,The Mangal Pandey's feat of scaling Mount Everest was a great example of audacity.,25.827850486169663
bf16,Hindi,11,"When parsley is grown in a good way, it is not only a good vegetable but also a good spice.",10.263980087989024
bf16,Hindi,12,The book is a collection of sources on the spiritual life of animals and humans.,30.12501564045366
bf16,Hindi,13,The book aims to promote the use of the language in the field of intellectual and creative expression.,31.13948990358859
bf16,Hindi,14,Professor Asitkar Bindopadhyay has written a history of Harivarti in Harivarti (the first and second volume) in the name of Harivarti Resurrection.,30.11890500415849
bf16,Hindi,15,The main entrance of the temple is open on the side facing the east and the main entrance is on the side facing the west.,17.12354571112612
bf16,Hindi,16,The Pak-style cuisine of Meghalaya is unique and different from other Northeastern Indian states.,11.407810554966888
bf16,Hindi,17,"The main source of food for the Rasoiyas is the main course, which is usually prepared by the main cook.",21.035443518784152
bf16,Hindi,18,"This is a fast food dish from Maharashtra, which is made by mixing various vegetables with a spicy sauce and then roasted in a pan. It is served with a hot and spicy roasted bread.",44.09229852679532
bf16,Hindi,19,"The Hindu goddess Meera is known for her mystical and deep-seated love for Krishna, and the Kaliyana is known for her love for the Goddess Lakshmi.",17.264522958098887
bf16,Hindi,20,The Bhagwan Gumfaas are the most famous of the many Buddhist cave temples in India.,19.21126266269705
bf16,Hindi,21,The root word of the word 'plant' is 'plant' and the meaning of the word 'plant' is the base of the plant.,26.8630592002001
bf16,Hindi,22,The Sindhu Valley civilization is known for its technological innovation and its use of copper and iron.,48.38559779972176
bf16,Hindi,23,Only five Pandavas and Krishna survive.,44.90865312212725
bf16,Hindi,24,The war lasts for a hundred days and ends with the Kaurva's defeat.,46.94857911688479
bf16,Hindi,25,The central story of the Mahabharata is the struggle for succession between the kings of Hastinpur and the rivalry between the two kings of Hastinpur and the king of Ajay.,36.69813816647023
