precision,language,idx,hyp,chrf
bf16,Hindi,0,"Service people have many qualities that combine together, such as their shoes, clothes, tie, jewelry, hairstyle, makeup, watch, cosmetics, perfume, etc.",58.58680462873601
bf16,Hindi,1,The Ajanta Caves near Aurangabad in Maharashtra have twenty-nine monasteries and temples carved into rock dating back to 200 BCE to 500 CE with murals depicting Jataka tales.,29.609260079204137
bf16,Hindi,2,Expansion makes your body look more rounded.,8.944034313182177
bf16,Hindi,3,"Ashoka started using stone extensively for sculptures and monuments, while before that traditional materials such as wood and clay were used.",49.662673773242815
bf16,Hindi,4,"This dish is called ""Bhajji"" and is made with spices mixed into grilled potatoes, then coated with gram flour batter and fried until crispy.",31.41843591707631
bf16,Hindi,5,"Chennai is famous for its food, which has been influenced by many cultures over time. The city was once ruled by the British Empire, who brought with them their own culinary traditions. This resulted in a fusion of flavors that can still be found today in the local cuisine.",22.437408004141133
bf16,Hindi,6,Cinnamon is native to India and used as both a flavoring agent and medicinal ingredient.,53.773382782064246
bf16,Hindi,7,Grind it into flour using a stone mill or grinder.,27.689363323757338
bf16,Hindi,8,"Punjab has its own specialties, such as Amritsari kulche, Bhartawar parathas and milk products.",38.84754463181656
bf16,Hindi,9,Lord Rama was sent away with his brother Lakshmana.,32.83455802216558
bf16,Hindi,10,But he did this with an unflinching dedication to a higher principle.,29.95051107401055
bf16,Hindi,11,"To make a delicious Meghalaya curry, you need to marinate your meat with spices overnight before frying it gently until all the flavors have been absorbed.",26.64159980527251
bf16,Hindi,12,"The book Hitopadesha is a collection of fables about animals, birds, and humans through their characteristics.",51.744305909661456
bf16,Hindi,13,The book seems to aim at encouraging proficiency in Sanskrit expressions and wisdom in behavior.,45.2168953925057
bf16,Hindi,14,"Professor Asit Kumar Bandyopadhyay has played an important role in compiling the history of his home town, Howrah, through two volumes titled Howrah Shahar Itihas (First and Second Volumes).",56.72021753938201
bf16,Hindi,15,The Chaitya hall has an open front with wooden building facade facing it and sometimes no main chaitya arch window.,32.87094233528778
bf16,Hindi,16,The royalty and the Khanasams have perfected these recipes over centuries through generations of oral tradition.,37.97877751836945
bf16,Hindi,17,"Traditionally, dishes are prepared with the help of a team of cooks, led by the head chef.",32.384591184643874
bf16,Hindi,18,"Pav bhaji is a fast food dish originating in Maharashtra, consisting of a thick vegetable mixture cooked with butter and served on a soft bread roll called pav.",62.4175297475658
