precision,language,idx,hyp,chrf
bf16,Hindi,0,"एक उपस्थिति सेवा व्यक्ति से संबंधित विशेषताओं का एक समूह है, जैसे उनके जूते, कपड़े, टाई, गहने, हेयर स्टाइल, मेकअप, घड़ी, सौंदर्य प्रसाधन, इत्यादि।",37.66874069080316
bf16,Hindi,1,"अजाण्टा, महाराष्ट्र के औरंगाबाद ज़िले में स्थित है, जिसमें बीस-नौ गुफाएँ हैं, जिन पर मूर्तियों और चित्रों से सजाया गया है, जो पहली शताब्दी ईसा पूर्व से लेकर पाँचवीं शताब्दी ईस्वी तक की हैं।",56.939019746560426
bf16,Hindi,2,"शरीर का रंग बाहरी रेखा के साथ मिल जाता है, जिससे मात्रा का प्रभाव पैदा होता है।",46.51584031921159
bf16,Hindi,3,"अशोक ने पत्थर का व्यापक उपयोग शुरू किया, जबकि पिछली परंपरा लकड़ी और मिट्टी के साथ काम करने पर केंद्रित थी।",33.59143017822103
bf16,Hindi,4,महाराष्ट्र का यह स्वादिष्ट और प्रसिद्ध व्यंजन आलू को मसालों के साथ मिलाकर बेसन के आटे में लपेटकर तले जाने से बनता है।,42.83257845271493
bf16,Hindi,5,"चेट्टिनाड व्यंजन चेट्टिनार समुदाय के नागरथारों या नागरथारों की पाक शैली है, जो तमिलनाडु राज्य के चेट्टिनाड क्षेत्र से आते हैं।",38.003130747509005
bf16,Hindi,6,"दालचीनी भारत की मूल वनस्पति है, इसलिए इसका उपयोग स्वाद देने वाले एजेंट के रूप में और औषधीय एजेंट के रूप में किया जाता है।",48.64166708877774
bf16,Hindi,7,इसे एक सूखी ग्राइंडर या पत्थर की पेस्टले से पीस लें।,26.586847201393518
bf16,Hindi,8,"प्रत्येक पंजाब शहर की अपनी पसंद है, जैसे अमृतसर के लोग विशेष रूप से अमृतसरी कुलचे, भरे हुए पराठे और दूध उत्पादों का आनंद लेते हैं।",66.6133585335345
bf16,Hindi,9,"राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो।",100.0
bf16,Hindi,10,लेकिन मंगल पांडे का साहसी कार्य उच्च और महान सिद्धांत के प्रति भक्ति के माध्यम से किया गया था।,35.607113603164784
bf16,Hindi,11,"जब प्याज पारदर्शी हो जाए तो उसमें हल्दी पाउडर मिलाएं और कुछ देर तक भूनें जब तक कि सभी मसाले मांस में समाहित न हो जाएं, लगभग 5-6 मिनट।",34.230483928348896
bf16,Hindi,12,"हिटोपदेश एक पुस्तक है जिसमें पक्षियों, जानवरों और मनुष्यों के पात्रों के माध्यम से दुनिया की बुद्धि प्रस्तुत की गई है।",57.590832388550254
bf16,Hindi,13,पुस्तक का उद्देश्य संस्कृत अभिव्यक्ति में प्रवीणता और बुद्धिमान व्यवहार का ज्ञान प्राप्त करना प्रतीत होता है।,63.16515054172199
bf16,Hindi,14,प्रोफेसर असितकुमार बंद्योपाध्याय ने अपने गृहनगर हावड़ा का पूरा इतिहास संकलित किया है जिसका शीर्षक है हावड़ा साहेर इतिब्रिटो (प्रथम और द्वितीय खंड) 1994 और 1995 में।,41.10611744043902
bf16,Hindi,15,कैथेड्रल के अग्रभाग पर अर्धवृत्ताकार कैथेड्रल आर्क का प्रभुत्व है जिसमें एक खुला सामने है जिसमें लकड़ी का मुखौटा है और कुछ मामलों में कोई प्रमुख कैथेड्रल आर्क खिड़की नहीं है।,31.965310054314656
