precision,language,idx,hyp,chrf
bf16,Hindi,0,"Clothing for service providers includes shoes, clothes, ties, jewelry, hairstyle, makeup, watches, cosmetics, leather, etc.",45.288405281606856
bf16,Hindi,1,"The Ajanta Caves in Aurangabad district of Maharashtra are a group of rock-cut Buddhist cave monuments dating from the 2nd to 6th century CE, and are among the earliest surviving examples of Indian cave art.",34.492744353350425
bf16,Hindi,2,The effect of expansion is that the color of the body is diluted in the outer contour.,32.15380594480216
bf16,Hindi,3,"Ashoka began to use stone for the construction of statues and grand monuments, while the traditional use of wood and mud was still in use.",39.33312785233559
bf16,Hindi,4,"This spicy and famous dish from Maharashtra is made by mixing spices with potatoes, coating it with a layer of batter, and frying it well.",35.32044285718647
bf16,Hindi,5,"Chettinad cuisine is the cuisine of the Chettinad community, also known as the Nagaraar, in the Chettinad region of Tamil Nadu.",54.3170554727578
bf16,Hindi,6,The mustard plant is native to India and is used as a flavoring agent as well as a medicinal ingredient.,47.87723288725579
bf16,Hindi,7,Grind it in a dry grinder or in a mortar and pestle.,45.88352326050271
bf16,Hindi,8,"Every city in Punjab has its own preference, such as Amritsarites especially love Amritsar's Kulcha, Bhara Patheen, and dairy products.",38.02230173753085
bf16,Hindi,9,Send Rama to the sage and Lakshmana also.,52.60407306721287
bf16,Hindi,10,But Mangal Pandey did this daring act of defiance with a great and noble principle in his heart.,42.10488225557436
bf16,Hindi,11,"When the peas are parboiled, add a little salt and a pinch of cumin seeds, and cook for 5-6 minutes until the meat is all cooked through.",24.83046252422865
bf16,Hindi,12,The book is a work of philosophy in which the characters of animals and humans are presented through the lens of scientific knowledge.,51.518107719026
bf16,Hindi,13,It seems that the purpose of the book is to encourage the reader to develop proficiency and a thoughtful approach to communication in Sanskrit.,48.32372581884538
bf16,Hindi,14,"Professor A. S. Bandopadhyay has played a significant role in compiling the history of the entire city of Hāvai, Hāvai, in two volumes titled Hāvai, Shāhreer Itivṛtt (First and Second Volume).",45.19455910528786
bf16,Hindi,15,"The main feature of the Chaitanya temple is the half-circular Chaitanya Chapa, which is flanked by two smaller Chaitanya Chapas. The front part of the Chaitanya Chapa is open, with a wooden hall facing the Chaitanya Chapa, and in some of the temples, there is no main Chaitanya Chapa window.",37.81302352182258
bf16,Hindi,16,The generations of Maharajas and Khanas (as traditionally called in India) have perfected these traditional cooking methods for centuries and they are now spreading through the oral tradition of generations.,49.3973332057034
bf16,Hindi,17,"Traditionally, the preparation of the main dish is done by the head cook, while the side dishes are prepared by the rest of the cooking team.",32.78261850711056
bf16,Hindi,18,"Pav is a fast food dish from Maharashtra, consisting of a thick mixture of vegetables cooked in oil and served with a soft bread roll (pav).",67.30830655466775
bf16,Hindi,19,"Habba Khattoon and Lal-Dyad are known for their devotional styles and deep emotions, while Meera Bai's works are popular for their unique devotion. In Tamil, Andal's sacred knowledge and in Kannada, Akka Mahadevi's sayings are proofs of the widespread contribution of women in literature during that time.",40.84011352237743
bf16,Hindi,20,"The tiger caves, which have Buddha images carved on them, are located 97 km from the town of Dhara in Madhya Pradesh.",47.6607710967548
bf16,Hindi,21,"In Sanskrit literature, the root word is generally understood to mean the root of a plant or tree, but in a more specific sense, it can mean the lower part or base of any object.",49.09144262650137
bf16,Hindi,22,The Indus Valley Civilization is known for its technical knowledge in different regions.,62.59992410084998
bf16,Hindi,23,All Kauravas die; only five Pandavas and Krishna survive.,67.24430982024292
bf16,Hindi,24,The war lasts for 18 days and ends with the defeat of the Kauravas.,67.75676160984658
bf16,Hindi,25,"The central story of Mahabharata is the struggle for the throne of Hastinapura, a kingdom located in the modern-day Delhi, and the homeland of the Bhartia tribe.",47.20838879082485
bf16,Hindi,26,"The population of Karnataka is more vegetarian than the rest of the Indian states, so their cuisine is mainly vegetarian.",38.25409223861378
bf16,Hindi,27,"They get the answer from Sajay, who is telling them what is happening in the battlefield.",52.69189674743268
bf16,Hindi,28,"Two epic poems in Tamil, Silappatikaram and Manimekalai, are found in Tamil Nadu.",57.40356730208245
bf16,Hindi,29,The use of chili powder is done with caution in this region.,68.36590240434663
bf16,Hindi,30,"The word yoga derives from the Sanskrit root yuj, which means ""to join"" or ""to unite.""",49.90105269021664
bf16,Hindi,31,Today's Odia Odisha is developed with a variety of sculptures on the walls of its temples.,36.18500004941262
bf16,Hindi,32,"Vashishtha then started walking towards the king and spoke slowly: ""Raja, you do not deserve to be called a king because you have said one thing once and you have not done it.""",27.73608298476321
bf16,Hindi,33,Only when they understood Krishna's despair did Kṛṣṇa change his approach and start teaching the mysteries of the religious conflicts in the world.,50.38748083920144
bf16,Hindi,34,"As you add the rice to the pot, sprinkle in a little bit of ghee in between.",33.72337429324258
bf16,Hindi,35,"You can start by adding a spoonful of grated coconut to the bowl, then mix in some well-cooked rice.",45.98872526373841
bf16,Hindi,36,"The magnificent Gurudwara Nankana Sahib was built in the 1830s by Maharaja Ranjit Singh, and is famous for its intricate carvings and ornate gold dome.",32.971969745495215
bf16,Hindi,37,"The Sama Veda is a collection of these selected mantras, which are arranged in the prescribed meter and rhythm, and the syllables are set to the prescribed notes.",35.91903014077805
